Stat,Faboo,Daddy
Meters So Far,"814,319","787,982"
Meters To Go,"285,681","312,018"
Percentage Complete,74.03%,71.63%
Per Day Average So Far,"16,286","15,760"
Required Future Average,"57,136","62,404"
