Stat,Faboo,Daddy
Meters So Far,"113,671","117,723"
Meters To Go,"986,329","982,277"
Percentage Complete,10.33%,10.70%
Per Day Average So Far,"14,209","14,715"
Required Future Average,"20,986","20,900"
