date,faboo_non_cumulative,faboo_cumulative,daddy_non_cumulative,daddy_cumulative,avg_goal_non_cumulative,avg_goal_cumulative,faboo_custom_goal_non_cumulative,faboo_custom_goal_cumulative,daddy_custom_goal_non_cumulative,daddy_custom_goal_cumulative
30-Mar-21,0,0,0,0,20000,20000,0,0,0,0
31-Mar-21,14862,14862,19618,19618,20000,40000,14862,14862,19618,19618
1-Apr-21,21099,35961,19264,38882,20000,60000,21099,35961,19264,38882
2-Apr-21,22203,58164,20181,59063,20000,80000,22203,58164,20181,59063
3-Apr-21,20728,78892,20262,79325,20000,100000,20728,78892,20262,79325
4-Apr-21,7323,86215,0,79325,20000,120000,7323,86215,0,79325
5-Apr-21,6775,92990,0,79325,20000,140000,6775,92990,0,79325
6-Apr-21,20681,113671,38398,117723,20000,160000,20681,113671,38398,117723
7-Apr-21,31114,144785,38930,156653,20000,180000,31114,144785,38930,156653
8-Apr-21,25696,170481,0,156653,20000,200000,25696,170481,0,156653
9-Apr-21,32533,203014,0,156653,20000,220000,32533,203014,0,156653
10-Apr-21,21504,224518,60592,217245,20000,240000,21504,224518,60592,217245
11-Apr-21,24440,248958,0,217245,20000,260000,24440,248958,0,217245
12-Apr-21,10509,259467,0,217245,20000,280000,10509,259467,0,217245
13-Apr-21,18842,278309,0,217245,20000,300000,18842,278309,0,217245
14-Apr-21,26595,304904,19151,236396,20000,320000,26595,304904,19151,236396
15-Apr-21,20196,325100,19505,255901,20000,340000,20196,325100,19505,255901
16-Apr-21,18202,343302,0,255901,20000,360000,18202,343302,0,255901
17-Apr-21,24183,367485,0,255901,20000,380000,24183,367485,0,255901
18-Apr-21,17172,384657,96818,352719,20000,400000,17172,384657,96818,352719
19-Apr-21,9785,394442,19167,371886,20000,420000,9785,394442,19167,371886
20-Apr-21,6453,400895,0,371886,20000,440000,6453,400895,0,371886
21-Apr-21,24177,425072,0,371886,20000,460000,24177,425072,0,371886
22-Apr-21,12636,437708,0,371886,20000,480000,12636,437708,0,371886
23-Apr-21,20616,458324,0,371886,20000,500000,20616,458324,0,371886
24-Apr-21,10380,468704,0,371886,20000,520000,10380,468704,0,371886
25-Apr-21,7467,476171,77747,449633,20000,540000,7467,476171,77747,449633
26-Apr-21,15418,491589,0,449633,20000,560000,15418,491589,0,449633
27-Apr-21,6663,498252,0,449633,20000,580000,6663,498252,0,449633
28-Apr-21,7226,505478,0,449633,20000,600000,7226,505478,0,449633
29-Apr-21,10332,515810,0,449633,20000,620000,10332,515810,0,449633
30-Apr-21,8816,524626,20487,470120,20000,640000,8816,524626,20487,470120
1-May-21,3476,528102,38640,508760,20000,660000,3476,528102,38640,508760
2-May-21,3911,532013,120508,629268,20000,680000,3911,532013,120508,629268
3-May-21,6582,538595,0,629268,20000,700000,6582,538595,0,629268
4-May-21,32455,571050,20149,649417,20000,720000,32455,571050,20149,649417
5-May-21,,,,,20000,740000,27839,598889,23715,673132
6-May-21,,,,,20000,760000,27839,626729,23715,696847
7-May-21,,,,,20000,780000,27839,654568,23715,720562
8-May-21,,,,,20000,800000,27839,682408,23715,744277
9-May-21,,,,,20000,820000,27839,710247,23715,767991
