Stat,Faboo,Daddy
Meters So Far,"278,309","217,245"
Meters To Go,"821,691","882,755"
Percentage Complete,25.30%,19.75%
Per Day Average So Far,"18,554","14,483"
Required Future Average,"20,542","22,069"
