Stat,Faboo,Daddy
Meters So Far,"497,141","449,633"
Meters To Go,"602,859","650,367"
Percentage Complete,45.19%,40.88%
Per Day Average So Far,"17,143","15,505"
Required Future Average,"23,187","25,014"
