Stat,Faboo,Daddy
Meters So Far,"699,342","787,982"
Meters To Go,"400,658","312,018"
Percentage Complete,63.58%,71.63%
Per Day Average So Far,"17,057","19,219"
Required Future Average,"28,618","22,287"
