Stat,Faboo,Daddy
Meters So Far,"886,198","787,982"
Meters To Go,"213,802","312,018"
Percentage Complete,80.56%,71.63%
Per Day Average So Far,"16,113","14,327"
Required Future Average,N/A,N/A
