Stat,Faboo,Daddy
Meters So Far,"571,050","649,417"
Meters To Go,"528,950","450,583"
Percentage Complete,51.91%,59.04%
Per Day Average So Far,"15,863","18,039"
Required Future Average,"27,839","23,715"
