date,faboo_non_cumulative,faboo_cumulative,daddy_non_cumulative,daddy_cumulative,avg_goal_non_cumulative,avg_goal_cumulative,faboo_custom_goal_non_cumulative,faboo_custom_goal_cumulative,daddy_custom_goal_non_cumulative,daddy_custom_goal_cumulative
30-Mar-21,0,0,0,0,20000,20000,0,0,0,0
31-Mar-21,14862,14862,19618,19618,20000,40000,14862,14862,19618,19618
1-Apr-21,21099,35961,19264,38882,20000,60000,21099,35961,19264,38882
2-Apr-21,22203,58164,20181,59063,20000,80000,22203,58164,20181,59063
3-Apr-21,20728,78892,20262,79325,20000,100000,20728,78892,20262,79325
4-Apr-21,7323,86215,0,79325,20000,120000,7323,86215,0,79325
5-Apr-21,6775,92990,0,79325,20000,140000,6775,92990,0,79325
6-Apr-21,20681,113671,38398,117723,20000,160000,20681,113671,38398,117723
7-Apr-21,31114,144785,38930,156653,20000,180000,31114,144785,38930,156653
8-Apr-21,25696,170481,0,156653,20000,200000,25696,170481,0,156653
9-Apr-21,32533,203014,0,156653,20000,220000,32533,203014,0,156653
10-Apr-21,21504,224518,60592,217245,20000,240000,21504,224518,60592,217245
11-Apr-21,24440,248958,0,217245,20000,260000,24440,248958,0,217245
12-Apr-21,10509,259467,0,217245,20000,280000,10509,259467,0,217245
13-Apr-21,18842,278309,0,217245,20000,300000,18842,278309,0,217245
14-Apr-21,,,,,20000,320000,20542,298851,22069,239314
15-Apr-21,,,,,20000,340000,20542,319394,22069,261383
16-Apr-21,,,,,20000,360000,20542,339936,22069,283452
17-Apr-21,,,,,20000,380000,20542,360478,22069,305521
18-Apr-21,,,,,20000,400000,20542,381020,22069,327589
